client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
88d1cd2784f99a676bb0bb7abce75b40b98dbd0ca01c8e089ab4d96102e05c671d8af27a53bacca86f0e6049c7bc06aa178ff6e916fd5321d3444d26ad0540e8	common_voice_rm-vallader_21481276.mp3	In gün han lö güst trais arrandschamaints culturals a Lavin.	2	1				rm-vallader	
df82217ea4472bf9dcbddf4b2927241b94292643dd756e98c4d3c304f692d98ae6f5fb40cc54e0a96420cb254508ffcab271fca441870b9ab9c3c083fe259fd0	common_voice_rm-vallader_21746944.mp3	Suppleanta nouva es Jolanda Bott.	2	0				rm-vallader	
88d1cd2784f99a676bb0bb7abce75b40b98dbd0ca01c8e089ab4d96102e05c671d8af27a53bacca86f0e6049c7bc06aa178ff6e916fd5321d3444d26ad0540e8	common_voice_rm-vallader_21480181.mp3	«Scha quai füss forsa il listess?»	2	0				rm-vallader	
529c11accc6b1306c119debe495694953e382917b5714d31f5dfcf613976b3bc4289b2ccbd3c02fd7cd8d168d8c7f5ba9c58d64b2bb141517479ef0b8e7acc96	common_voice_rm-vallader_20576080.mp3	Cunter la vöglia da la regenza es gnüda fatta buna quista proposta.	2	0	fourties	male		rm-vallader	
9abc81294a2781258f0412ce01280db86bc41416b8587a9c8abb8008b4e80d5ab43822cf96c9739654b8b091e7962d28262d74ad7b6c0a3281613bcd7be0b144	common_voice_rm-vallader_20579501.mp3	Ulteriuras dessan seguir.	2	0	twenties	female		rm-vallader	
a5d2b59d2e3f03e76621fd588192d4e3b81ef355ceb8defbf4c340a2b2b6f60616a3ccbf1833005cf515b41e4aef7c6331025d8fff41f035a3563c6ef93961f2	common_voice_rm-vallader_20567967.mp3	Quai nun es però stat pussibel.	2	0				rm-vallader	
88d1cd2784f99a676bb0bb7abce75b40b98dbd0ca01c8e089ab4d96102e05c671d8af27a53bacca86f0e6049c7bc06aa178ff6e916fd5321d3444d26ad0540e8	common_voice_rm-vallader_21481112.mp3	El ha argumentà, persvas e cumbattü per üna identificaziun rumantscha.	2	1				rm-vallader	
529c11accc6b1306c119debe495694953e382917b5714d31f5dfcf613976b3bc4289b2ccbd3c02fd7cd8d168d8c7f5ba9c58d64b2bb141517479ef0b8e7acc96	common_voice_rm-vallader_20575722.mp3	Nus lain promouver quai eir in avegnir», ha manià il chanzlist da La Punt.	2	0	fourties	male		rm-vallader	
06a9482035f05b25e8611a81fdedd868b3b28259b3f1952824713419a571159d526efb63d650b5b8766639d488b16ea9f77d04967ab43062ffa0b1a65135bf55	common_voice_rm-vallader_21872723.mp3	Il resultat para cler ed evidaint.	2	0	fourties	male		rm-vallader	
ea51b7880ab7f9319992e8acc3ba7ae595bfc7f5f068ed340556cb89b8cfb51965feca8e443bf6b1f9c04ab359d7b95738283841495ca89761a22c675e872b37	common_voice_rm-vallader_20569321.mp3	Cun quist giubileum han serrà las pendicularas lur stagiun d’inviern.	2	0				rm-vallader	
529c11accc6b1306c119debe495694953e382917b5714d31f5dfcf613976b3bc4289b2ccbd3c02fd7cd8d168d8c7f5ba9c58d64b2bb141517479ef0b8e7acc96	common_voice_rm-vallader_20575657.mp3	Eir Tschlin es da la partida cun workshop e concert.	2	0	fourties	male		rm-vallader	
06a9482035f05b25e8611a81fdedd868b3b28259b3f1952824713419a571159d526efb63d650b5b8766639d488b16ea9f77d04967ab43062ffa0b1a65135bf55	common_voice_rm-vallader_21654290.mp3	El s’ha tschantà lasura ed es parti cun tuot vers la fabrica.	2	0	fourties	male		rm-vallader	
06a9482035f05b25e8611a81fdedd868b3b28259b3f1952824713419a571159d526efb63d650b5b8766639d488b16ea9f77d04967ab43062ffa0b1a65135bf55	common_voice_rm-vallader_21650664.mp3	Darcheu ün on plü tard pona ingaschar cun Alois Solinger lur prüm lavuraint.	2	1	fourties	male		rm-vallader	
06a9482035f05b25e8611a81fdedd868b3b28259b3f1952824713419a571159d526efb63d650b5b8766639d488b16ea9f77d04967ab43062ffa0b1a65135bf55	common_voice_rm-vallader_21870880.mp3	Da quella savur nun han da patir però be ils vaschins.	2	0	fourties	male		rm-vallader	
d8ba1bef2eebe83ffaf648226814fa90292b4be10a9fa162fc3f89f62513b9235b48a6c510f94a18584762a8943124abebbfba89c93490892efc884805f593a4	common_voice_rm-vallader_20566910.mp3	Cha quai saja ün fich bel resultat, disch Parolini.	2	0				rm-vallader	
bd1590506008e0ca6009703d2d6cbee0bcbf397062824be03b35f22cd6ba97beff851733447aa02b1870673728d2e4306fbc3650f3175ec0b9ec299d919258ec	common_voice_rm-vallader_21746765.mp3	L’exposiziun actuala «Teresa» ha duos böts.	2	0	fourties	female		rm-vallader	
cf13869dab2dccf2a1d74bbf32db55d4e8eda92410f70d19c2bc4be71a94847c8c33ef7d427f5c6ad4069247241ab5c8c9050ef11ede28aabd2f75db16aa2a74	common_voice_rm-vallader_20566970.mp3	Pür inandret vala que per quels geografics.	2	0				rm-vallader	
529c11accc6b1306c119debe495694953e382917b5714d31f5dfcf613976b3bc4289b2ccbd3c02fd7cd8d168d8c7f5ba9c58d64b2bb141517479ef0b8e7acc96	common_voice_rm-vallader_20575736.mp3	Ad interim vain quel manà dal büro da Scuol infuormaziun.	2	0	fourties	male		rm-vallader	
88d1cd2784f99a676bb0bb7abce75b40b98dbd0ca01c8e089ab4d96102e05c671d8af27a53bacca86f0e6049c7bc06aa178ff6e916fd5321d3444d26ad0540e8	common_voice_rm-vallader_21480651.mp3	Üna decisiun gnarà tutta i’l decuors da las prosmas eivnas.	2	1				rm-vallader	
88d1cd2784f99a676bb0bb7abce75b40b98dbd0ca01c8e089ab4d96102e05c671d8af27a53bacca86f0e6049c7bc06aa178ff6e916fd5321d3444d26ad0540e8	common_voice_rm-vallader_21481275.mp3	Il Grond Cussagl tilla trattarà dürant la sessiun d’avuost.	2	0				rm-vallader	
0d5d08462ff3be2fb800895d4ed73b0dc9569e562dadc86a06274df25a610a124fecffae7f49145a683cfa2193dd714f69c5f0e99f0150b0fa325cfe554d06b4	common_voice_rm-vallader_20613309.mp3	Ulteriurs premis han retschavì Edith Hunkeler, Peter Sauber, Köbi Kuhn e Jonas Hiller.	2	0	thirties	other		rm-vallader	
d8ba1bef2eebe83ffaf648226814fa90292b4be10a9fa162fc3f89f62513b9235b48a6c510f94a18584762a8943124abebbfba89c93490892efc884805f593a4	common_voice_rm-vallader_20567043.mp3	El stübgiaiva alch.	2	0				rm-vallader	
2002f829a187634304bc1a2c8c6ea6386a1f2d59faba18834c77eb4c461f4a2bec6930a3a8629f337d1cd6141976c7b6a6acc1a35c76a2188b137feeb5d508a6	common_voice_rm-vallader_21728697.mp3	Quist ha manà stupends resultats.	2	0	twenties	male		rm-vallader	
cf13869dab2dccf2a1d74bbf32db55d4e8eda92410f70d19c2bc4be71a94847c8c33ef7d427f5c6ad4069247241ab5c8c9050ef11ede28aabd2f75db16aa2a74	common_voice_rm-vallader_20567055.mp3	Ils chatschaders as preparan actualmaing per ir a chatscha.	2	1				rm-vallader	
88d1cd2784f99a676bb0bb7abce75b40b98dbd0ca01c8e089ab4d96102e05c671d8af27a53bacca86f0e6049c7bc06aa178ff6e916fd5321d3444d26ad0540e8	common_voice_rm-vallader_21481111.mp3	Pro las tractandas da la mastralietta toccan eir ils rapports dals ufficiants.	2	0				rm-vallader	
9e1e1383fc3a27c4eb97867fd7b06866dff00ae426db6e799d95d9172141757beda8e97e1a5a0a9e202a8aaea105f4f52bb9ea78d0cc6bc951162855bef05afb	common_voice_rm-vallader_20581889.mp3	Per aigna sabgentscha.	2	0				rm-vallader	
88d1cd2784f99a676bb0bb7abce75b40b98dbd0ca01c8e089ab4d96102e05c671d8af27a53bacca86f0e6049c7bc06aa178ff6e916fd5321d3444d26ad0540e8	common_voice_rm-vallader_21480254.mp3	«Dalur!»	2	0				rm-vallader	
36a3aa6ed2aeeb467f762ea0da0bcebf4c3fd3212686991dd1f84dfa9e5a071f77ae501c6890f53f20d24eba35b0b538f34874ef2b9ab3f5f4a352159b641288	common_voice_rm-vallader_21846501.mp3	Quai resulta our d’ün rapport dal forum economic grischun.	2	1				rm-vallader	
9e1e1383fc3a27c4eb97867fd7b06866dff00ae426db6e799d95d9172141757beda8e97e1a5a0a9e202a8aaea105f4f52bb9ea78d0cc6bc951162855bef05afb	common_voice_rm-vallader_20586191.mp3	Sonda passada ha gnü lö quist inscunter a Ftan.	2	0				rm-vallader	
27a1d9e9f4e8e862bbf4ffd5f8a6fa0785fb9c06d1d6a409cfc05784811a3e180930c5f7a630193095ca2208e6b5b3ca064dd908f005381df6c10f96821815e5	common_voice_rm-vallader_20578829.mp3	L’interess davart da quists es stat fich grond.	2	0				rm-vallader	
