client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
c884001f665af1bd237758bd6a4625fe7f6e95012b9b0be4763886c8c532a71505a85d22585e18789e607cabcaf2597446fb7ea034455e82815b4fcded8ccac2	common_voice_lg_23706333.mp3	Kirungi okuwa abantu abakulu ekitiibwa.	2	0	twenties	male		lg	
7b01ca05762b1c62944a249461f1dc5ade5bc855aebd8e6439ac4ddac52428089907a6f7e85fbbb21c4251f444428092e19a5b617d917d0f6dcd6a21a83e3653	common_voice_lg_23726145.mp3	Omugagga n'omwavu bonna nga bakusomesa ssomo lya byanfuna ogenda n'ali wa?	2	0	thirties	female		lg	
6aa88ee7d0db30f0891968651d041de3dcef9dcc863d6274d77c307e70793a705da40b16c1ea99bd24f0397ebf330f389c963017f14a178a2ed8b5ae67f07acd	common_voice_lg_23794958.mp3	Ekisinga obukulu nti naawe osomye era obitegedde.	2	0	twenties	male		lg	
7b01ca05762b1c62944a249461f1dc5ade5bc855aebd8e6439ac4ddac52428089907a6f7e85fbbb21c4251f444428092e19a5b617d917d0f6dcd6a21a83e3653	common_voice_lg_23784651.mp3	Kati mubadde mulowooza nti ani agenda okubaleeta?	2	0	thirties	female		lg	
6aa88ee7d0db30f0891968651d041de3dcef9dcc863d6274d77c307e70793a705da40b16c1ea99bd24f0397ebf330f389c963017f14a178a2ed8b5ae67f07acd	common_voice_lg_23817809.mp3	Lwaki wasalawo okusoma obusawo n'otasoma busomesa nga nze?	2	0	twenties	male		lg	
8b0a148ff83d44a744bd3c190dd68ce3f5552fbfee86d3bd4ff3fc7f010f84a99b181a0ab169d2c30414eb377ff9bfd07005eb79c409ade0fc0cd90809750383	common_voice_lg_23755455.mp3	Wamma kituufu embwa bwekuluma otandika okuboggola?	2	1				lg	
8b0c90712c9c8ba1310f4449bfd477092ef3b6e6301bbda9936bd9102dbc0d7f627ccdbe114973e84f5cc2777b6963da52ce84c081071560ed6d828e57517e17	common_voice_lg_23829204.mp3	Ebbaluwa entongole gwe ogitegeera otya?	2	0	twenties	female		lg	
7b01ca05762b1c62944a249461f1dc5ade5bc855aebd8e6439ac4ddac52428089907a6f7e85fbbb21c4251f444428092e19a5b617d917d0f6dcd6a21a83e3653	common_voice_lg_23901947.mp3	Omwana oyo yatandika okwekozesa nga muto nnyo.	2	0	thirties	female		lg	
2d0f6467b29895b7e9b5e754e6cc49fe9e904341b8b47d230fac538711b1d7754d3a1b816ca998d66e98a40345c440c18f608d81c56c95368953012ac8e55892	common_voice_lg_23805110.mp3	Ekimeeza kino kirungi nnyo.	2	0	twenties	male		lg	
7b01ca05762b1c62944a249461f1dc5ade5bc855aebd8e6439ac4ddac52428089907a6f7e85fbbb21c4251f444428092e19a5b617d917d0f6dcd6a21a83e3653	common_voice_lg_23895376.mp3	Engeri aba booda booda gye bavugamu piki bandisaanye basomesebwe amateeka g'okunguudo.	2	0	thirties	female		lg	
d4aaacd3b77be95d0aa8210da1189a910f8ef5258907619ac7258d5618e1a651c3ee4ca1859715aafff4f12ebeef08fe3522ef4521e1c7fa2b2074c4ea5d141f	common_voice_lg_23810577.mp3	Okumanya Nalubega muzibu yeebisse mu buliri ate nga waliwo emirimu egy'okukola.	2	0	twenties	female		lg	
36fb276395f7a21aa36530fa53f2a84d2211a183ed9bb069d0bfd5b3fd0a94c2a8e77ce4a8e8a9953c73051935026ceb2fd43a5b56a3df0744ac4d00aaf87135	common_voice_lg_23830084.mp3	Amasomero agamu tegawa maanyi kusomesaamu.	2	0				lg	
bf54c67f25b7b57410b378b793854abced26381733d31d3678cee9f918dfa3c7270001b3e721ff58935780410ad52eefc6cba1d9476899632ebf0d1879eb7da9	common_voice_lg_23779769.mp3	Ebyo byonna ebintu muleese bya ki?	2	1	thirties	male		lg	
8b0c90712c9c8ba1310f4449bfd477092ef3b6e6301bbda9936bd9102dbc0d7f627ccdbe114973e84f5cc2777b6963da52ce84c081071560ed6d828e57517e17	common_voice_lg_23819453.mp3	Omukyala oyo mukulu naye engeri gy'akolamu ebintu etankanibwa.	2	0	twenties	female		lg	
7b01ca05762b1c62944a249461f1dc5ade5bc855aebd8e6439ac4ddac52428089907a6f7e85fbbb21c4251f444428092e19a5b617d917d0f6dcd6a21a83e3653	common_voice_lg_23756222.mp3	Obadde okimanyi nti mu bugwanjuba bwa Ssemazinga Africa waliyo ebika bya muwogo bingi?	2	0	thirties	female		lg	
0a0ef11c04488d6964e3f077713b3a0d4bb7171c8054962fc493d65ff32269da9012ab4e60a928d4f8449a3a126f737bf920c88b50ef49d99c46e6b17f13ebc4	common_voice_lg_23709980.mp3	Nze sejjusa kugenda bweru kukola kuba buli kye nayitamu Katonda yali yakimpandiikako dda okukiyitamu.	2	1	twenties	female		lg	
7b01ca05762b1c62944a249461f1dc5ade5bc855aebd8e6439ac4ddac52428089907a6f7e85fbbb21c4251f444428092e19a5b617d917d0f6dcd6a21a83e3653	common_voice_lg_23758528.mp3	Genda ewa taata w'ono omwana omugambe ajje mmubuulire.	2	0	thirties	female		lg	
7b01ca05762b1c62944a249461f1dc5ade5bc855aebd8e6439ac4ddac52428089907a6f7e85fbbb21c4251f444428092e19a5b617d917d0f6dcd6a21a83e3653	common_voice_lg_23727822.mp3	Tuvudde wala nga tutawaana n'ekirwadde kino.	2	0	thirties	female		lg	
7b01ca05762b1c62944a249461f1dc5ade5bc855aebd8e6439ac4ddac52428089907a6f7e85fbbb21c4251f444428092e19a5b617d917d0f6dcd6a21a83e3653	common_voice_lg_23765067.mp3	Ennyonyi ettiisa nnyo mu kusituka ne mu kugwa.	2	1	thirties	female		lg	
c884001f665af1bd237758bd6a4625fe7f6e95012b9b0be4763886c8c532a71505a85d22585e18789e607cabcaf2597446fb7ea034455e82815b4fcded8ccac2	common_voice_lg_23706350.mp3	Otera okulya ku bibala?	2	0	twenties	male		lg	
7b01ca05762b1c62944a249461f1dc5ade5bc855aebd8e6439ac4ddac52428089907a6f7e85fbbb21c4251f444428092e19a5b617d917d0f6dcd6a21a83e3653	common_voice_lg_23727793.mp3	Wabula olina omukisa kuba onsanze nfuluma ku genda ku party.	2	0	thirties	female		lg	
7b01ca05762b1c62944a249461f1dc5ade5bc855aebd8e6439ac4ddac52428089907a6f7e85fbbb21c4251f444428092e19a5b617d917d0f6dcd6a21a83e3653	common_voice_lg_23756321.mp3	Abayizi b'essomero eryo baasanyuse nnyo nga babalagidde okuddayo eka.	2	0	thirties	female		lg	
3379704fc05edaf32d14216a456e1784dacfd74ed78b942ef4afab5ee290f2ddd9a429d388bbb4e7a4012f9e36a687de03dbcfde2155d3d871b01f31d92a6bfd	common_voice_lg_23754806.mp3	Banka zandikendeezezza ku magoba ge ziteeka ku looni.	2	0				lg	
7b01ca05762b1c62944a249461f1dc5ade5bc855aebd8e6439ac4ddac52428089907a6f7e85fbbb21c4251f444428092e19a5b617d917d0f6dcd6a21a83e3653	common_voice_lg_23758512.mp3	Oteekeddwa okuba n'enzikiriza emu mu bulamu bwo.	2	0	thirties	female		lg	
7b01ca05762b1c62944a249461f1dc5ade5bc855aebd8e6439ac4ddac52428089907a6f7e85fbbb21c4251f444428092e19a5b617d917d0f6dcd6a21a83e3653	common_voice_lg_23722624.mp3	Ekikere nakyo kirina obusagwa era omuntu asaanye okukyewala.	2	0	thirties	female		lg	
7b01ca05762b1c62944a249461f1dc5ade5bc855aebd8e6439ac4ddac52428089907a6f7e85fbbb21c4251f444428092e19a5b617d917d0f6dcd6a21a83e3653	common_voice_lg_23745311.mp3	Abazadde bateekeddwa okusasulira abaana ekyemisana.	2	0	thirties	female		lg	
d4aaacd3b77be95d0aa8210da1189a910f8ef5258907619ac7258d5618e1a651c3ee4ca1859715aafff4f12ebeef08fe3522ef4521e1c7fa2b2074c4ea5d141f	common_voice_lg_23810826.mp3	Essaawa eno buli muntu ayagala kwesimbawo.	2	0	twenties	female		lg	
7b01ca05762b1c62944a249461f1dc5ade5bc855aebd8e6439ac4ddac52428089907a6f7e85fbbb21c4251f444428092e19a5b617d917d0f6dcd6a21a83e3653	common_voice_lg_23757021.mp3	Omusomesa oyo anteeka ku bunkenke buli lw'ayingira mu kibiina kyaffe.	2	0	thirties	female		lg	
7b01ca05762b1c62944a249461f1dc5ade5bc855aebd8e6439ac4ddac52428089907a6f7e85fbbb21c4251f444428092e19a5b617d917d0f6dcd6a21a83e3653	common_voice_lg_23784643.mp3	Lwaki emboozi zo ezisinga zikwata ku bakazi?	2	0	thirties	female		lg	
7b01ca05762b1c62944a249461f1dc5ade5bc855aebd8e6439ac4ddac52428089907a6f7e85fbbb21c4251f444428092e19a5b617d917d0f6dcd6a21a83e3653	common_voice_lg_23818107.mp3	Lwaki abantu tebaagala kusasula?	2	0	thirties	female		lg	
